sr_no,sol_id,acct_name,schm_code,principal_payment_due_date,principal_payment_amount,interest_payment_due_date,primary_manager_id,secondary_manager_id,tertiary_manager_id,cbo_srm_id,credit_admin_manager_id,normal_interest,interest_calc_status,penal_interest,penal_calc_status,processing_status
376790,78,"8eweqyC_.!,6ZOXc>?7*#h|d=58jzD3B0V^L",LNECL,28-02-2023,891667,28-02-2023,NA,204455,46045,107299,107299,218079.32,Done,,pending,Done
375890,43,JZvaqzR_0{_=dG3ZK<G*Wjs`:skn$w6I+0,LNECL,28-02-2023,144444,28-02-2023,NA,114682,29309,153576,153576,24493.29,Done,,pending,Done
377120,90,L^nsqoNa6!Q9gL,LNECL,28-02-2023,100000,28-02-2023,NA,165106,79080,152202,152202,22311.64,Done,,pending,Done
377040,90,">ZtiqyM:?""[:^GZ1FF6,Vl|d,G",LNECL,28-02-2023,205000,28-02-2023,NA,210357,343493,152202,152202,31280.92,Done,,pending,Done
397939,2238,HZpoqnEp6,LNSTL,,,,,,,,,704.54,Done,0.82,Done,Cust_Email_Is_Blank
374903,1609,DmrcqvT^,LNCTL,,,28-02-2023,NA,363024,183093,45921,267765,123463698.8,Done,0,Done,Done
376947,87,"@Zid;}H:@""MD5Ie`AM5+V",LNECL,28-02-2023,27800,28-02-2023,NA,156591,14175,378924,378924,5334.04,Done,,pending,Done
375328,13,C[j@ByW_?R\F^OTeBw> Pa~`+,LNECL,,,,NA,168059,135540,354567,354567,,pending,,pending,No_Interest_Payment_Due
373650,1377,CZtuFs j.#QF5Ie`AM5+V,LI001,28-02-2023,66500,28-02-2023,154142,268654,275217,205393,205393,7749.1,Done,4.34,Done,Done
380990,1530,"7fgsqsMj2+,9a>VeOA5wOkJk9=:fO=iA0Ob\S5",LNECL,28-02-2023,105555.55,28-02-2023,NA,191519,177563,56191,85163,16014.8,Done,,pending,Done
393150,1164,:aqoFJIh3%MGiKhTQMD{#h|j19'yNw6I+,LNPRT,28-02-2023,2900000,28-02-2023,NA,12927,12927,321565,328583,4425821.92,Done,155.13,Done,Done
379280,118,Ikk@HoL[;R`FVGfaLJF*,LNECL,28-02-2023,67000,28-02-2023,NA,339507,7237,346430,346430,8112.86,Done,,pending,Done
378920,1165,H9u@7xT_?#^=h>f,LNECL,28-02-2023,388888,28-02-2023,NA,159598,159598,8036,390307,62472.75,Done,,pending,Done
377141,91,Ihwr3! mAwQ@h,LNECL,,,28-02-2023,259872,143322,12141,149055,161465,0,Done,,pending,Normal_Interest_Is_Zero
375914,43,"@ZpuEJAoA"",5\>aTV",LNECL,28-02-2023,19722,28-02-2023,NA,186217,3921,25466,25466,2850.82,Done,,pending,Done
386153,282,Hbuh3lH::w`5aL,LNECL,28-02-2023,104166.7,,NA,336109,336109,NA,356954,14562.15,Done,0,Done,No_Interest_Payment_Due
377223,97,Iate7JTc?(\5iB3S>D3!L8~m(B7uJJ>,LNECL,,,28-02-2023,NA,334515,187032,356552,330191,0,Done,,pending,Normal_Interest_Is_Zero
377067,90,Kgkt7n `<(Z8gBXd|HD YY~`f@-rDL/9,LNECL,,,28-02-2023,NA,374626,NA,265613,172266,0,Done,,pending,Normal_Interest_Is_Zero
376750,76,Ikk@DkM[1s_sbHg`OwF)Df}k6F8EGA7>;G]4,LNECL,,,28-02-2023,NA,92168,308664,10054,183584,157229.59,Done,,pending,Done
378823,1165,Fkgc;}Ii;RNF^@[e|KF{HdJd589xOJ3::,LNECL,28-02-2023,237400,28-02-2023,NA,148012,25852,390237,345754,35752.55,Done,,pending,Done
377270,1008,LbetA| _;ySsXH`a>FK,LNECL,,,28-02-2023,153271,102478,55116,374147,374147,21595.89,Done,,pending,Done
385298,240,CZja>kXg6R_=aBVRQ=EVSn~If@8i),LNECL,,,28-02-2023,NA,368406,130982,354653,284772,22315.75,Done,,pending,Done
379075,1165,Ikgeq}Ug.!S5aB3dQ=7#V,LNECL,,,28-02-2023,25903,129236,18151,8098,390307,0,Done,,pending,Normal_Interest_Is_Zero
377165,93,DZvuDkL:5w^6hxT_Aw8&Ue g(H-tIw:K;09Tb5$,LNECL,,,28-02-2023,NA,26197,204390,80426,115767,49207.78,Done,,pending,Done
379895,1320,Ikk@@kN^6ROCiMb_|?;%Qaxbf:%hOG<N,LNECL,,,28-02-2023,309836,178367,137372,367648,367648,38869.86,Done,,pending,Done
377235,1001,Ikk@EkI:.yQBXBXd,LNECL,28-02-2023,16667,28-02-2023,NA,160235,92168,348267,348267,2652.93,Done,,pending,Done
378130,1164,"IZc@HsSb;(,6VDXcPwB)Lnko,s0nHA>:+",LNECL,,,28-02-2023,NA,251536,NA,154495,374839,279306.85,Done,,pending,Done
379791,1292,CZfh3x [4%[seKbUR;F*,LNECL,,,28-02-2023,NA,170092,52397,178882,178882,0,Done,,pending,Normal_Interest_Is_Zero
376811,80,>bOt7mH:.#\@^<TeLJ,LNECL,,,28-02-2023,NA,195662,128720,195662,190553,0,Done,,pending,Normal_Interest_Is_Zero
379710,129,IatiqlAf.|Ush:\1PL7{Ok,LNECL,28-02-2023,750000,28-02-2023,NA,371822,952,15635,952,91782.53,Done,,pending,Done
379326,118,Hhih;~ m={ZHZQ3ZK<;w#h|d=58jzD3B0V^L,LNECL,,,28-02-2023,NA,157929,9891,346430,346430,0,Done,,pending,Normal_Interest_Is_Zero
398288,2864,IZvtHkT_ERR5hA\`KwB-W8vo+,LNSTL,,,28-02-2023,NA,NA,136072,379441,379441,84908.7,Done,,pending,Done
375336,13,Dbvaq~R[;&\CgM,LNECL,28-02-2023,15555,28-02-2023,179091,216969,128688,374861,374861,2360.17,Done,,pending,Done
398228,2741,"H^ie@mY:5""_D^MT]|DFz",LNSTL,,,28-02-2023,NA,322460,318679,352737,352737,248174.55,Done,,pending,Done
398358,2986,I9t@F|UmA,LNSTL,,,28-02-2023,14362,198626,6542,13764,13764,2014150.15,Done,,pending,Done
388468,3993,"HZk@DkJ:0""ZGiKhTQAA%#h|d=58jzD3B0V^L",LNECL,,,28-02-2023,209159,154142,7462,11182,11182,7236.66,Done,7.34,Done,Done
397489,173,;ogr7}T:3~Q9ixcgQw>+G,LNSTL,28-02-2023,4200000,28-02-2023,NA,NA,49709,380658,200931,566170.25,Done,254.24,Done,Done
377231,97,7coeDJDc2&Q@hx91QJ3yWg|n,LNECL,,,28-02-2023,NA,210926,187032,356552,330191,124052.05,Done,,pending,Done
397609,1831,Abot;JL[9,LNSTL,,,28-02-2023,,,,,,687.35,Done,0.07,Done,Cust_Email_Is_Blank
378243,1164,"C^ih6sP[l~[;^LgZ@Kq'Ua!\;9cqDE3I,F",LNECL,28-02-2023,42222.22,28-02-2023,NA,109935,21737,321565,328583,6185.67,Done,,pending,Done
376286,49,">Ztv7v [4(Ms^GWZ>wB)Lnko,s0nHA>:+",LNECL,,,28-02-2023,NA,204390,204390,19721,328527,77739.73,Done,,pending,Done
376873,86,F9t@;xNiCs`=dGf1MJ;-Dlo;3=1nO=.,LNECL,28-02-2023,833333,28-02-2023,NA,260632,4798,378324,378324,104697.45,Done,,pending,Done
375357,13,"Fkck3}H:0zQA^<T]Pw3}Hfmd,GcuQLiA;F",LNECL,,,28-02-2023,NA,NA,NA,85963,85963,352109.59,Done,,pending,Done
377114,90,"IZpg7oTbl'QLiB_VPwB)Lnko,s0nHA>:+""96",LNECL,,,28-02-2023,NA,159984,NA,265613,265613,579.69,Done,,pending,Done
373824,72,CHu@?pC:.!PshHad,LNBLA,28-02-2023,158000,28-02-2023,NA,195824,275975,679,204531,52577.95,Done,,pending,Done
376980,87,7k{aqwEn.uMGixccFN3+H8vd4=8j?,LNECL,,,28-02-2023,NA,141863,51305,378924,378924,0,Done,,pending,Normal_Interest_Is_Zero
377234,1001,"Fkqv;nEh0w,5jMb^L:;#H8|\5;)",LNECL,28-02-2023,100000,28-02-2023,NA,117614,16050,348267,348267,15171.92,Done,,pending,Done
399798,NFS003,Iacm4rU:1se5axTcV9,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399808,NFS003,IZeh;x \5{Y55PTYRD7,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
377295,1015,"A9e@?kNclX,GdGf",LNECL,,,28-02-2023,NA,200832,43796,348267,348267,0,Done,,pending,Normal_Interest_Is_Zero
375975,43,HZls:|E_lwZ;^GXVOA@}#h|d=58jzD3B0V^L,LNECL,,,28-02-2023,NA,200502,200502,376831,376831,258972.6,Done,,pending,Done
376595,68,Fkky3xK[.RS5gFX_QK,LNECL,,,28-02-2023,NA,117614,16050,45459,374095,43929.09,Done,,pending,Done
399858,NFS003,Ihdh3JJ[;{,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399818,NFS003,IpcrGz eB MF5ITe>F30Dc,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
378895,1165,I9n@7vE]A%U7VEf,LNECL,28-02-2023,47220,28-02-2023,NA,253133,76707,167793,370335,6549.03,Done,,pending,Done
376893,86,Bit@7#Pi?'_s=>aXFF7VFgwk6B)sOKrt7Xm(ZE:,LNECL,,,28-02-2023,NA,260632,4798,378324,378324,0,Done,,pending,Normal_Interest_Is_Zero
376123,47,"8ZnkDsSb;s,HZQgZI=E",LNECL,,,28-02-2023,NA,19343,16715,380150,380150,0,Done,,pending,Normal_Interest_Is_Zero
379083,1165,"Nfql6JPi9,Y9gL3aSL #W\",LNECL,,,28-02-2023,NA,129236,19257,390237,345754,0,Done,,pending,Normal_Interest_Is_Zero
399838,NFS003,Ikkn;lAml&M<dH,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399868,NFS003,I9pa@nIh6,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399878,NFS003,IZpj;l eB MF5<[Y>LD D,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399938,NFS003,@Z{@>kL:0z[I]:a,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399948,NFS003,BZeh:kN\.{,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
397639,186,8kkl>sAhAR_9V@h]IwB-W8vo+,LNSTL,28-02-2023,389228,28-02-2023,NA,205433,205433,373074,329804,81192.73,Done,420.26,Done,Done
377104,90,IZtaFrA:/(U@Y>ed,LNECL,,,28-02-2023,NA,210357,79080,360000,145825,0,Done,,pending,Normal_Interest_Is_Zero
376266,48,"AZkl3}H:=""XM5BaURKF)L]};7F-{<L/t3KfQb6:",LNECL,,,28-02-2023,NA,332891,336823,350864,350864,,pending,,pending,Normal_Interest_Is_Null
380772,1493,LZks:xAp6RQ@Z<gcLF;yV,LNECL,,,28-02-2023,210908,196000,7841,65046,102634,0,Done,,pending,Normal_Interest_Is_Zero
377333,1025,Ikkn;!Am.RQBi>eaOAE{V,LNECL,28-02-2023,261200,28-02-2023,NA,212802,45548,183584,183584,33643.7,Done,,pending,Done
379423,121,C9fG5ySn.R`9mM\]BK,LNECL,28-02-2023,19000,28-02-2023,NA,163277,7980,107299,107299,3144.52,Done,,pending,Done
378657,1164,9hpt7wPi?s^M5MeRFF;%J8Jk=HcqO<,LNECL,,,28-02-2023,NA,295959,8978,12754,328584,3422.64,Done,,pending,Done
377236,1001,Ikk@EkI:.yQBXBXd,LNECL,,,28-02-2023,NA,160235,92168,348267,348267,0,Done,,pending,Normal_Interest_Is_Zero
379154,1165,"8^g@<kY:0""ZGiKhTQAA%#h|d=58jzD3B0V^L",LNECL,,,28-02-2023,25903,124683,18151,8098,390307,0,Done,,pending,Normal_Interest_Is_Zero
377262,1008,>Ztb3xS:@{Z;]x91PG@*,LNECL,,,28-02-2023,153271,NA,55116,374147,374147,129.96,Done,,pending,Done
376007,43,Iate7JG[;#MHa:_1LF=wUdkgf5+w<O+Af(9K]>Fan@,LNECL,28-02-2023,744450,28-02-2023,NA,179767,22232,376831,376831,143226.5,Done,,pending,Done
376844,83,7fcz;xG:4%M7ZxV`OHA)Dlsj5,LNECL,28-02-2023,8333,28-02-2023,292882,23750,18982,24526,386667,1264.38,Done,,pending,Done
377250,1006,;Zut7|N:/wMF^GZd|HH+#d~_,LNECL,,,28-02-2023,NA,NA,152074,18118,350703,245091.23,Done,,pending,Done
399958,NFS003,>Zta4kI:8zM8^RT,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
375658,39,"Chft7mH::s`9gBT]|@3%Gdsi.s4wJB/8;U9X`:Lat, 8<D*/Zw",LNECL,,,28-02-2023,NA,353864,353864,142339,329872,13215.75,Done,,pending,Done
376641,70,CZut7| g6!PG,LNECL,,,28-02-2023,NA,213763,148597,74634,74634,0,Done,,pending,Normal_Interest_Is_Zero
376896,86,7eni7n [9~[Mh,LNECL,,,28-02-2023,NA,142021,86597,378324,378324,26123.62,Done,,pending,Done
377296,1018,"Ikk@HkRm5s,:dHW1MJAzX[~nf=2iD9iA;F",LNECL,,,28-02-2023,NA,192877,21314,348267,348267,129825.34,Done,,pending,Done
375393,13,7`crIkL:/(X?5<TcOA7*,LNECL,,,28-02-2023,42437,200193,128688,354567,354567,0,Done,,pending,Normal_Interest_Is_Zero
374403,3700,"Iakl?k a.&,GZKiZ@=E",LNBLA,,,28-02-2023,NA,146008,42151,371100,353507,6386.91,Done,0,Done,Done
376450,60,IZr@B|IhAR_CaNgZLFEVSn~;3H(,LNECL,,,28-02-2023,NA,352761,12221,27234,338077,0,Done,,pending,Normal_Interest_Is_Zero
399968,NFS003,7icn3JPl.vT5c,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400058,1662,Ia{a?JPf.&`=X,LNSUC,,,28-02-2023,,,,,,0,Done,,pending,Cust_Email_Is_Blank
399978,NFS003,AZoa>JL[9sc5i,LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
399988,NFS003,"IZvh;}H[lv,7",LNSTL,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
376397,57,?ghi@sTcl{Z8^:,LNECL,28-02-2023,277780,28-02-2023,NA,347871,NA,374069,13351,31819.73,Done,,pending,Done
378227,1164,?]ga>JS]6wZ7ZxT_AwD{V]km*<c|@D069G9Pc3,LNECL,28-02-2023,22222,28-02-2023,NA,358997,12344,321565,328583,3659.69,Done,,pending,Done
376990,87,AZta?JMo9'UDV<^1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,372958,368674,371342,371342,0,Done,,pending,Normal_Interest_Is_Zero
375632,35,Ibph3v ]< \Ii>ed|}q*\k~`4G,LNECL,,,28-02-2023,NA,204482,19687,26105,356935,0,Done,,pending,Normal_Interest_Is_Zero
376845,83,"9Ztd;xAfl Q8^<T]|L7yKfyg6;-jNwqEo""e\R",LNECL,,,28-02-2023,206642,23750,8600,8098,390307,0,Done,,pending,Normal_Interest_Is_Zero
378664,1164,@Zna@JIhAw^sXHaeFF7%WYv;/C8jGKiE9KoIb6uli4I@8;,LNECL,,,28-02-2023,NA,176484,176484,14781,354392,1193246.3,Done,,pending,Done
378995,1165,?gveDvA]2RUBYBT1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,209140,8600,7030,346432,0,Done,,pending,Normal_Interest_Is_Zero
376674,72,7gwsBk b2%UHV@X1MJAzX[~nfD6nQ9>:fNbUWE;d,LNECL,28-02-2023,341528,28-02-2023,NA,148578,9216,27234,338077,43131.18,Done,,pending,Done
399998,4,MbnfDoD:.!`<dGl1C=D%Dfn`:,LNSUC,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
376472,61,Fntp>o g6u^CeHee|;3)Gayq(G'zG9<t7Tb^OE;@l0M5G<%,LNECL,,,28-02-2023,NA,199973,178016,27234,338077,0,Done,,pending,Normal_Interest_Is_Zero
377004,87,Iakn9kDc.RUBYNfeOA7*#h|d=58jzD3B0V^L,LNECL,28-02-2023,188888,28-02-2023,NA,358879,295297,27770,27770,23810.99,Done,,pending,Done
375395,13,";ekt7JD]<%,DgBiRQ=q#Leso,8",LNECL,,,28-02-2023,NA,216969,128688,357138,357138,80071.92,Done,,pending,Done
375990,43,"?gve>vI]B&,HZ<[_LDA}L]};fD:y)w6I+0",LNECL,,,28-02-2023,NA,173501,16281,376831,376831,0,Done,,pending,Normal_Interest_Is_Zero
376652,70,AZoeBkLf6RSFVG\eBKq\#]#k6F8x,LNECL,,,28-02-2023,148174,201370,148597,74634,74634,0,Done,,pending,Normal_Interest_Is_Zero
399299,605,"AhpaDu j?""V9XMf1|D;$Llo_",LNSTL,,,28-02-2023,NA,321963,178016,378467,329804,90074.71,Done,0,Done,Done
376941,87,AZta?JMo9'UDV<^1MJ;-Dlo;3=1nO=.,LNECL,28-02-2023,660138,28-02-2023,NA,372958,368674,371342,371342,108090.19,Done,,pending,Done
376080,46,FhnyAx c;vaGiK\VP,LNECL,,,28-02-2023,NA,159363,52541,43745,43745,0,Done,,pending,Normal_Interest_Is_Zero
377170,93,Iakv3vIelvUGiK\SRL;&Q8zq;s0y?,LNECL,,,28-02-2023,NA,174978,26197,80426,115767,0,Done,,pending,Normal_Interest_Is_Zero
400208,5098,"Fkgc;mR[3',7dFc`K=@+V8si+=%EKN>t3V]",LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400218,5098,8^utAwE]5RUBYNfeOA7*,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400228,5098,:rpaHkC:6!P=VxccFN3+H8vo+,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400258,5113,8fBc:oMc2,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
376257,48,:9u@7vE]A%U7VE3hLJ=*,LNECL,,,28-02-2023,NA,88772,17963,64285,64285,0,Done,,pending,Normal_Interest_Is_Zero
379874,131,AZoa>JEh4{Z9ZK\_DwE&Om~d6B7EGD:,LNECL,,,28-02-2023,NA,198031,87469,293291,293291,0,Done,,pending,Normal_Interest_Is_Zero
379727,129,FZvi>JAh1RMG]H^1J9EwOYJk9C(z>L=,LNECL,,,28-02-2023,NA,206634,101122,15635,292379,0,Done,,pending,Normal_Interest_Is_Zero
377265,1008,EgmaDJFc9~UB\xfe>L;&Q,LNECL,,,28-02-2023,153271,212028,22471,374147,374147,0,Done,,pending,Normal_Interest_Is_Zero
378364,1164,7`noqzOfF QFhxcgQw>+G,LNECL,28-02-2023,444827,28-02-2023,NA,33851,354971,193739,197407,58686.57,Done,,pending,Done
378585,1164,IpcsFsK[l&`9ZE37|9>#L]n;7F3iP;>HfRkQd2Je@3I9<K&~,LNECL,,,28-02-2023,NA,175585,175585,12754,328584,40185.62,Done,,pending,Done
376905,86,"L9t@;xFiG""Z95IeZS9F{#dsh0H)i",LNECL,,,28-02-2023,NA,260632,4798,378324,378324,14899.07,Done,,pending,Done
378923,1165,Cntu9kN:6vX=5L[`M,LNECL,28-02-2023,1138888,28-02-2023,NA,178074,328835,8098,390307,187557.96,Done,,pending,Done
399339,647,MbvtKJIh3%MHZ<[1MJ;-Dlo;3=1nO=.,LNSTL,28-02-2023,1411882.04,28-02-2023,NA,67819,27779,44298,353519,513750.85,Done,568.99,Done,Done
397649,188,IZvaDk l<~X9gxY]LMDVPavg:s4{Ow6I+,LNSTL,28-02-2023,167000,28-02-2023,NA,46045,354379,360412,31468,10632.38,Done,,pending,Done
379372,1192,Onja4JCl.x`=c@3]IH,LNECL,,,28-02-2023,NA,193946,42151,369003,46280,0,Done,,pending,Normal_Interest_Is_Zero
376626,69,LblaKkL[8&TA^xX_Q=D'Ua}`:,LNECL,,,28-02-2023,148596,148596,148597,386964,386964,0,Done,,pending,Normal_Interest_Is_Zero
379046,1165,"8^utFoCbl Q7]xT_Aw;%Ijk;,B+nI=/G:""iZWG7tefL5@@5 Y",LNECL,,,28-02-2023,153396,171715,9337,167793,370335,0,Done,,pending,Normal_Interest_Is_Zero
377266,1008,"8Zps3v _1{N@ZxT_Aw7/Sg|o:s4wDN+I,""eQ[:Jed",LNECL,,,28-02-2023,NA,314351,22471,374147,374147,49753.42,Done,,pending,Done
376217,48,DZipG| m<x`sZFUVA<7z#lo^/B3qJ?Ct7Tb^OE;@l0M5G<%,LNECL,28-02-2023,138000,28-02-2023,NA,204368,17963,164346,164346,21222.84,Done,,pending,Done
376877,86,"L9t@;xFiG""Z95IeZS9F{#dsh0H)i",LNECL,28-02-2023,110555,28-02-2023,NA,260632,4798,378324,378324,13889.94,Done,,pending,Done
400278,5113,"Klm@4kL[7{,Da:fe|HH+#d~_",LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400288,5113,ChteJJIh1(_HgBXd|HD YY~`f@-rDL/9,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400298,5113,Dki@;xDo@'^=ZL,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400308,5124,:9xi<kY:=zMFb:3aSLq#W\,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400318,5128,LfBs5sEh0w_,LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
400338,5147,";iktAwE:@,_HZFf1MNFVOln",LNTEQ,,,,,,,,,,pending,,pending,Cust_Email_Is_Blank
374322,3037,Ikk@>kKm5 UsZ=hT>L;&QYv;-C9s?9>>6P,LNBLA,28-02-2023,48000,28-02-2023,105501,27685,52397,68151,177861,11076.64,Done,143.58,Done,Done
375881,42,Akd@DoT[6~,LNECL,,,28-02-2023,214298,176188,8929,100993,100993,0,Done,,pending,Normal_Interest_Is_Zero
378800,1165,IatiDkM:AwdH^EXd,LNECL,,,28-02-2023,209140,171955,8600,24526,386667,,pending,,pending,Normal_Interest_Is_Null
387568,3395,CZpjGnEp6RW<ZMT_,LNECL,,,28-02-2023,NA,262759,137372,360318,4059,25366.18,Done,0,Done,Done
397238,1636,"Innaq!Ih2,MFYL3]FE;+H\J`9G8|CA6:fMgWep7s@:U84v7$cxEe>n,d;5id!<_:0(<X={E",LNSTL,,,28-02-2023,NA,346721,85306,44091,37978,521546.59,Done,0,Done,Done
373658,1530,Mhoa@yR[l{Z7,LI001,,,28-02-2023,NA,296494,195662,195662,375012,143844.83,Done,0,Done,Done
376964,87,DZvuDkL:AwdMVKa1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,156591,16715,371342,371342,195985.18,Done,,pending,Done
375725,40,"Hnmm;xI:=""XMiNUVPwB)Lnko,s0nHA>:+",LNECL,28-02-2023,434444,28-02-2023,NA,204912,13134,4969,393196,54582.35,Done,,pending,Done
379776,1290,9acn6|A:2!`9gIeZP=E,LNECL,,,28-02-2023,NA,163037,81173,205393,205393,0,Done,,pending,Normal_Interest_Is_Zero
376715,75,CZtuFrI:2!S=c>XcFF9VLfnd(s0qK,LNECL,28-02-2023,88500,28-02-2023,NA,364336,22131,18067,18067,12096,Done,,pending,Done
379395,1205,I9d@FJAj=s^9aL3aSLq#W\,LNECL,28-02-2023,722222,28-02-2023,NA,NA,303948,50156,50156,92904.13,Done,,pending,Done
379965,134,"Dnvr;mH:3""[8hxcgQw>+G",LNECL,28-02-2023,322222,28-02-2023,NA,131553,7980,97180,97180,46423.87,Done,,pending,Done
379624,1264,Fbqn7oR:3{X!b>W1MJ;-Dlo;3H(,LNECL,,,28-02-2023,NA,135764,135764,130569,130569,132336.99,Done,,pending,Done
377334,1025,Ikkn;!Am.RQBi>eaOAE{V,LNECL,,,28-02-2023,NA,212802,45548,183584,183584,42877.29,Done,,pending,Done
376996,87,L^tiF$ m={ZHZQ3aOAHwW]Jg0A8j?,LNECL,28-02-2023,800000,28-02-2023,NA,198204,16744,371342,371342,199143.84,Done,,pending,Done
378924,1165,DZviAxAflsaHdI_RPL,LNECL,28-02-2023,805555,28-02-2023,NA,253133,29162,24526,386667,121621.32,Done,,pending,Done
375896,43,I^nlIoLfl#T5gFTTBMF FYvnf@-rDL/9,LNECL,28-02-2023,69440,28-02-2023,NA,186217,15552,376831,376831,10265.1,Done,,pending,Done
376303,51,GEEYEM AGRO MILLS,LNECL,,,28-02-2023,NA,242158,120310,26656,4059,41550.29,Done,,pending,Done
399449,701,IateKkS:=sO?V@\_D,LNSTL,28-02-2023,129000,28-02-2023,NA,173608,13595,84950,327379,21546.67,Done,0,Done,Done
385269,240,"@ZknqoL_0'^CeETdQwB)Lnko,s0nHA>:+",LNECL,28-02-2023,500000,28-02-2023,NA,78668,284772,354653,51919,87585.62,Done,,pending,Done
378522,1164,I^xy3w n?sP9mB`1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,111016,33851,12754,328584,0,Done,,pending,Normal_Interest_Is_Zero
376762,76,"IZpt:ySb6 MH]:3TLJD,JY~j9GcuMA@6;G9TW>?te+",LNECL,,,28-02-2023,181620,124251,102947,183584,183584,34527.06,Done,,pending,Done
378091,1164,FZei8sC:7(`95E\^FL7z,LNECL,28-02-2023,808000,28-02-2023,NA,340911,21733,341426,374840,79992.77,Done,,pending,Done
376176,47,"$ZxiEJM_AsXs^GWfPLD HkJg;8cMz=<H;YaQZ6uav0Sk@8$#^""1wkz/9j/tRh",LNECL,,,28-02-2023,NA,178678,136072,380150,380150,0,Done,,pending,Normal_Interest_Is_Zero
377327,1023,FkcfGv n?sP=c@3TL,LNECL,,,28-02-2023,260541,198204,51305,378924,378924,0,Done,,pending,Normal_Interest_Is_Zero
378144,1164,;Zut7|N:A%M7`xhUVG9VSn~;3H(,LNECL,,,,NA,176484,176484,193739,197407,,pending,,pending,No_Interest_Payment_Due
377204,97,@Zk@ByLs:w^G5<b^M9@0#h|d=58jzD3B0V^L,LNECL,28-02-2023,108350,28-02-2023,NA,210926,187032,356552,330191,18975.6,Done,,pending,Done
377244,1005,IZtj3x ]<!_HgNVeFG@VSn~;3H(,LNECL,28-02-2023,71000,28-02-2023,NA,146806,45181,235828,39674,10586.88,Done,,pending,Done
387593,341,Imto@q j9sZH5BaWO9E+Ummo<F)EKN>t3V],LNECL,28-02-2023,79444.44,28-02-2023,NA,199796,199796,679,204531,12488.1,Done,107.1,Done,Done
375348,13,LbctDsX:2!S=c>XcFF9V)8zg(G8n>KiA3R,LNECL,28-02-2023,144444.44,28-02-2023,NA,164745,163264,374861,374861,18618.49,Done,,pending,Done
385948,269,:ZxiqoNa6!Q9gBaX|HH+#d~_,LNECL,28-02-2023,556000,28-02-2023,NA,369896,16219,16219,271193,83384.67,Done,109.99,Done,Done
397308,1636,"Ihni6 S:5{,HZ<[1MJAzX[~;7J8EGL.",LNSTL,28-02-2023,1458000,28-02-2023,NA,203314,203314,12826,271193,499305.74,Done,,pending,Done
377106,90,?gve9|A:.(`Cb:gZLFq'YlJg;8,LNECL,,,28-02-2023,NA,208346,26283,265613,265613,255452.05,Done,,pending,Done
379305,118,I9u@5JM_1{O5axT_Aw7zX[ko0C2fGw>G<Um,LNECL,,,28-02-2023,NA,157929,126805,16820,16820,0,Done,,pending,Normal_Interest_Is_Zero
379085,1165,:ge@> Bl6uMBiL,LNECL,,,28-02-2023,NA,342883,76707,390237,345754,0,Done,,pending,Normal_Interest_Is_Zero
398008,240,"@ZknqoL_0'^CeETdQwB)Lnko,s0nHA>:+",LNSTL,28-02-2023,243902,28-02-2023,NA,78668,284772,354653,51919,11962.93,Done,,pending,Done
376640,70,AZoeBkLf6RQLeHeeP,LNECL,,,28-02-2023,148174,127389,109748,74634,74634,0,Done,,pending,Normal_Interest_Is_Zero
379380,1198,"FZve>JAa?"",=c=hdQJ;{V",LNECL,,,28-02-2023,16744,146452,261071,27770,27770,0,Done,,pending,Normal_Interest_Is_Zero
377220,97,FZta6sS_lvUGiK\SRLA)V,LNECL,,,28-02-2023,198657,130871,27407,356552,330191,36537.67,Done,,pending,Done
